clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,18.3,42,343,218,116,913,768,30.7,6.4,175,3.2,18.9,0.0,0.0,1006,0.73,1013,218,23.8,175,6.8,1.7,Mahuva_Anaval,20.84,73.26
0.01,2024-01-02,18.1,42,343,219,116,913,769,28.9,6.4,167,3.6,17.8,0.0,0.0,1006,0.78,1013,219,22.5,167,7.2,1.8,Mahuva_Anaval,20.84,73.26
0.1,2024-01-03,18.0,42,343,219,116,913,771,27.8,6.3,145,2.8,17.0,0.0,0.0,1005,0.82,1013,218,21.7,145,6.4,2.0,Mahuva_Anaval,20.84,73.26
0.02,2024-01-04,16.9,42,343,220,116,914,772,28.1,6.1,159,2.4,16.3,0.0,0.0,1005,0.77,1013,220,21.6,159,5.6,1.7,Mahuva_Anaval,20.84,73.26
0.03,2024-01-05,16.6,42,343,220,117,914,773,28.1,6.4,123,3.6,16.7,0.0,0.0,1006,0.75,1013,220,21.7,123,6.4,2.3,Mahuva_Anaval,20.84,73.26
0.29,2024-01-06,16.2,42,344,221,117,915,775,28.9,5.4,41,3.2,17.0,0.0,0.0,1006,0.69,1013,217,22.5,41,6.4,2.5,Mahuva_Anaval,20.84,73.26
0.35,2024-01-07,17.3,42,344,222,117,915,776,29.6,5.3,112,3.2,20.0,0.0,0.0,1006,0.68,1013,220,23.9,112,6.4,2.2,Mahuva_Anaval,20.84,73.26
0.16,2024-01-08,17.6,42,344,222,117,916,778,32.2,6.2,161,3.2,20.7,0.0,0.0,1006,0.64,1013,222,25.2,161,6.8,2.4,Mahuva_Anaval,20.84,73.26
0.37,2024-01-09,18.3,42,345,223,117,916,780,28.9,4.7,129,2.4,19.6,1.0,1.0,1006,0.71,1013,174,24.2,129,4.4,1.5,Mahuva_Anaval,20.84,73.26
0.13,2024-01-10,19.3,42,345,224,117,917,782,29.6,6.3,132,2.8,20.7,0.0,0.0,1007,0.73,1014,224,24.6,132,6.0,1.7,Mahuva_Anaval,20.84,73.26
0.05,2024-01-11,20.1,42,346,225,117,917,784,30.4,6.0,79,2.8,20.0,0.0,0.0,1007,0.76,1014,224,24.9,79,5.2,1.7,Mahuva_Anaval,20.84,73.26
0.06,2024-01-12,19.3,42,346,225,117,918,786,33.3,6.5,145,2.8,21.1,0.0,0.0,1006,0.68,1014,225,26.1,145,5.6,2.1,Mahuva_Anaval,20.84,73.26
0.0,2024-01-13,19.0,42,346,226,117,918,788,32.2,6.6,199,3.2,20.0,0.0,0.0,1007,0.7,1014,226,25.3,199,7.2,1.9,Mahuva_Anaval,20.84,73.26
0.0,2024-01-14,15.1,43,347,227,118,919,791,29.6,6.7,163,3.2,18.9,0.0,0.0,1008,0.63,1015,227,23.4,163,6.8,2.0,Mahuva_Anaval,20.84,73.26
0.0,2024-01-15,11.3,43,347,228,118,919,793,28.5,6.7,185,2.4,15.2,0.0,0.0,1007,0.56,1015,228,21.2,185,5.6,1.8,Mahuva_Anaval,20.84,73.26
0.26,2024-01-16,12.0,43,348,229,118,920,795,28.9,6.5,214,2.8,13.0,0.0,0.0,1005,0.61,1012,220,20.8,214,5.6,1.5,Mahuva_Anaval,20.84,73.26
0.37,2024-01-17,12.2,43,348,230,118,921,798,28.1,3.7,178,2.4,14.1,0.0,0.0,1004,0.61,1012,182,20.6,178,6.4,1.6,Mahuva_Anaval,20.84,73.26
0.01,2024-01-18,13.7,43,349,231,118,921,801,27.8,6.8,203,2.4,15.2,0.0,0.0,1006,0.65,1013,231,21.1,203,5.2,1.7,Mahuva_Anaval,20.84,73.26
0.01,2024-01-19,14.4,43,350,232,118,922,803,30.0,6.9,158,2.8,14.8,0.0,0.0,1006,0.65,1013,232,21.8,158,5.6,1.8,Mahuva_Anaval,20.84,73.26
0.27,2024-01-20,13.7,43,350,233,118,923,806,28.5,6.9,175,3.2,15.9,0.0,0.0,1007,0.61,1014,229,21.8,175,7.2,2.2,Mahuva_Anaval,20.84,73.26
0.63,2024-01-21,11.1,43,351,234,119,923,809,28.9,2.5,42,3.6,16.7,0.0,0.0,1008,0.51,1015,72,22.4,42,8.0,2.9,Mahuva_Anaval,20.84,73.26
0.54,2024-01-22,11.4,43,351,235,119,924,812,29.3,5.4,165,4.0,15.6,0.0,0.0,1008,0.52,1015,211,21.9,165,7.6,2.2,Mahuva_Anaval,20.84,73.26
0.02,2024-01-23,7.9,43,352,236,119,925,815,28.1,7.0,61,3.6,14.4,0.0,0.0,1008,0.46,1016,236,20.8,61,8.4,2.7,Mahuva_Anaval,20.84,73.26
0.03,2024-01-24,8.2,43,353,238,119,925,818,28.5,7.1,49,3.6,14.4,0.0,0.0,1008,0.46,1015,238,21.1,49,8.0,2.7,Mahuva_Anaval,20.84,73.26
0.01,2024-01-25,9.2,44,354,239,119,926,821,30.0,7.1,92,2.8,13.3,0.0,0.0,1009,0.48,1016,239,21.5,92,6.4,2.1,Mahuva_Anaval,20.84,73.26
0.3,2024-01-26,10.5,44,354,240,119,927,824,31.5,7.0,155,3.2,15.6,0.0,0.0,1009,0.48,1017,240,22.6,155,5.6,2.0,Mahuva_Anaval,20.84,73.26
0.8,2024-01-27,12.8,44,355,241,119,928,827,32.6,5.0,168,2.8,16.3,0.0,0.0,1009,0.54,1017,120,23.5,168,5.6,2.0,Mahuva_Anaval,20.84,73.26
0.72,2024-01-28,13.6,44,356,243,120,928,831,31.9,4.4,199,3.6,14.8,0.0,0.0,1009,0.6,1016,203,22.9,199,7.2,1.8,Mahuva_Anaval,20.84,73.26
0.6,2024-01-29,13.0,44,356,244,120,929,834,30.0,6.0,185,2.8,14.8,0.0,0.0,1009,0.6,1016,228,22.0,185,6.8,1.8,Mahuva_Anaval,20.84,73.26
0.2,2024-01-30,14.1,44,357,245,120,930,837,30.0,7.3,186,2.4,15.2,0.0,0.0,1008,0.63,1015,242,22.1,186,6.4,1.9,Mahuva_Anaval,20.84,73.26
0.67,2024-01-31,14.6,44,358,246,120,931,841,29.3,4.4,192,3.2,16.3,0.0,0.0,1007,0.63,1015,172,22.6,192,6.8,1.4,Mahuva_Anaval,20.84,73.26
0.22,2024-02-01,16.8,44,359,248,120,931,844,28.9,7.3,232,2.8,16.7,0.0,0.0,1008,0.73,1015,247,22.2,232,6.8,1.7,Mahuva_Anaval,20.84,73.26
0.26,2024-02-02,16.4,44,360,249,121,932,848,29.6,4.5,146,2.4,16.7,0.0,0.0,1009,0.7,1016,203,22.9,146,6.4,1.8,Mahuva_Anaval,20.84,73.26
0.01,2024-02-03,15.3,45,360,251,121,933,851,33.3,7.6,148,2.8,18.1,0.0,0.0,1008,0.59,1015,251,24.8,148,5.6,2.0,Mahuva_Anaval,20.84,73.26
0.0,2024-02-04,15.8,45,361,252,121,934,855,34.4,7.7,172,3.2,18.5,0.0,0.0,1008,0.57,1016,252,25.7,172,5.6,1.8,Mahuva_Anaval,20.84,73.26
0.0,2024-02-05,17.0,45,362,253,121,934,858,31.5,7.7,241,2.8,19.3,0.0,0.0,1009,0.63,1016,253,25.0,241,6.4,1.6,Mahuva_Anaval,20.84,73.26
0.07,2024-02-06,17.7,45,363,255,121,935,862,31.9,7.8,205,2.8,18.9,0.0,0.0,1009,0.66,1016,242,25.0,205,6.4,1.4,Mahuva_Anaval,20.84,73.26
0.21,2024-02-07,16.5,45,364,256,121,936,866,31.1,7.7,158,4.0,18.5,0.0,0.0,1010,0.63,1017,241,24.6,158,7.2,2.2,Mahuva_Anaval,20.84,73.26
0.49,2024-02-08,14.3,45,365,258,122,936,869,30.4,7.7,119,3.2,18.9,0.0,0.0,1009,0.56,1016,229,24.3,119,7.6,2.4,Mahuva_Anaval,20.84,73.26
0.23,2024-02-09,14.8,45,366,259,122,937,873,30.7,8.0,173,3.2,16.7,0.0,0.0,1008,0.62,1015,257,23.3,173,6.8,1.8,Mahuva_Anaval,20.84,73.26
0.0,2024-02-10,13.0,46,367,261,122,938,877,30.4,8.0,188,3.6,17.0,0.0,0.0,1009,0.56,1016,261,22.9,188,7.2,2.1,Mahuva_Anaval,20.84,73.26
0.04,2024-02-11,13.3,46,368,262,122,939,881,30.4,8.1,186,2.8,15.9,0.0,0.0,1009,0.59,1017,262,22.5,186,6.0,1.7,Mahuva_Anaval,20.84,73.26
0.96,2024-02-12,14.0,46,369,264,122,939,884,30.7,2.8,194,3.2,15.9,0.0,0.0,1008,0.6,1016,86,23.0,194,6.8,1.7,Mahuva_Anaval,20.84,73.26
0.98,2024-02-13,13.3,46,370,265,122,940,888,30.0,2.6,190,3.6,16.3,0.0,0.0,1008,0.58,1016,71,22.7,190,7.6,2.0,Mahuva_Anaval,20.84,73.26
0.53,2024-02-14,13.4,46,371,267,123,941,892,30.4,5.1,162,2.4,17.4,0.0,0.0,1008,0.56,1016,209,23.6,162,6.4,2.1,Mahuva_Anaval,20.84,73.26
0.0,2024-02-15,14.8,46,372,268,123,941,896,33.3,8.4,128,2.4,16.3,0.0,0.0,1007,0.58,1014,268,24.3,128,5.6,1.7,Mahuva_Anaval,20.84,73.26
0.19,2024-02-16,16.2,47,374,270,123,942,900,35.6,6.9,103,3.6,20.7,0.0,0.0,1007,0.54,1014,261,27.2,103,8.0,2.1,Mahuva_Anaval,20.84,73.26
0.2,2024-02-17,15.4,47,375,271,123,943,903,35.2,8.3,197,3.6,21.1,0.0,0.0,1005,0.5,1012,263,27.7,197,7.2,2.0,Mahuva_Anaval,20.84,73.26
0.01,2024-02-18,16.6,47,376,273,123,943,907,34.4,8.6,226,3.6,18.9,0.0,0.0,1004,0.59,1012,273,26.3,226,7.2,2.0,Mahuva_Anaval,20.84,73.26
0.28,2024-02-19,14.1,47,377,275,123,944,911,33.3,8.1,218,3.6,18.1,0.0,0.0,1005,0.52,1013,269,25.4,218,8.4,2.0,Mahuva_Anaval,20.84,73.26
0.2,2024-02-20,15.2,47,378,276,124,944,915,31.5,8.7,216,4.0,17.4,0.0,0.0,1006,0.59,1013,276,24.5,216,8.8,2.1,Mahuva_Anaval,20.84,73.26
0.32,2024-02-21,19.0,47,379,278,124,945,919,28.9,7.6,240,4.0,20.0,0.0,0.0,1006,0.75,1013,274,24.1,240,8.8,2.6,Mahuva_Anaval,20.84,73.26
0.25,2024-02-22,17.6,48,380,279,124,946,922,29.3,8.8,246,3.6,21.1,0.0,0.0,1006,0.69,1013,278,24.4,246,8.4,2.5,Mahuva_Anaval,20.84,73.26
0.0,2024-02-25,5.4,48,384,284,124,947,934,31.5,9.1,39,4.0,15.9,0.0,0.0,1005,0.32,1012,284,23.8,39,9.2,2.9,Mahuva_Anaval,20.84,73.26
0.79,2024-02-26,11.8,48,385,285,125,948,937,34.4,4.1,167,3.6,17.4,0.0,0.0,1003,0.44,1011,152,25.6,167,8.0,2.4,Mahuva_Anaval,20.84,73.26
0.1,2024-02-27,14.7,48,386,287,125,948,941,33.7,8.1,238,2.8,20.0,0.0,0.0,1005,0.5,1012,287,26.5,238,6.8,1.8,Mahuva_Anaval,20.84,73.26
0.01,2024-02-28,15.6,48,387,289,125,949,945,34.8,9.3,179,3.2,20.4,0.0,0.0,1004,0.51,1012,289,27.2,179,6.4,1.9,Mahuva_Anaval,20.84,73.26
0.2,2024-02-29,17.1,49,388,290,125,949,948,37.4,8.5,171,3.2,20.7,0.0,0.0,1004,0.53,1011,285,28.5,171,6.0,1.8,Mahuva_Anaval,20.84,73.26
0.07,2024-03-01,17.2,49,389,292,125,950,952,34.1,9.3,207,3.6,22.2,0.0,0.0,1005,0.56,1012,292,27.5,207,8.4,2.4,Mahuva_Anaval,20.84,73.26
0.05,2024-03-02,19.3,49,390,293,125,950,955,30.0,9.5,219,4.8,21.5,0.0,0.0,1005,0.69,1012,293,25.7,219,10.8,3.2,Mahuva_Anaval,20.84,73.26
0.23,2024-03-03,16.2,49,391,295,125,951,959,27.0,9.6,267,4.0,18.9,0.0,0.0,1006,0.64,1014,294,23.8,267,9.2,2.9,Mahuva_Anaval,20.84,73.26
0.0,2024-03-04,10.9,49,392,296,126,951,962,29.6,9.6,185,2.8,14.4,0.0,0.0,1007,0.54,1014,296,22.0,185,7.2,1.9,Mahuva_Anaval,20.84,73.26
0.0,2024-03-05,8.5,49,393,298,126,951,966,31.9,9.7,183,4.0,14.8,0.0,0.0,1006,0.42,1014,298,23.0,183,8.8,2.3,Mahuva_Anaval,20.84,73.26
0.03,2024-03-06,8.9,49,394,299,126,952,969,31.5,9.8,202,3.6,16.7,0.0,0.0,1006,0.43,1013,299,23.5,202,8.0,2.0,Mahuva_Anaval,20.84,73.26
0.01,2024-03-07,10.0,50,395,301,126,952,972,32.6,9.8,178,3.6,17.0,0.0,0.0,1006,0.41,1013,301,25.0,178,8.0,2.0,Mahuva_Anaval,20.84,73.26
0.0,2024-03-08,11.2,50,396,302,126,952,976,32.6,9.9,159,3.6,17.8,0.0,0.0,1006,0.42,1013,302,25.7,159,7.6,2.4,Mahuva_Anaval,20.84,73.26
0.07,2024-03-09,10.8,50,396,304,126,953,979,33.3,10.0,151,4.0,18.5,0.0,0.0,1006,0.42,1013,303,25.6,151,7.6,2.4,Mahuva_Anaval,20.84,73.26
0.01,2024-03-10,10.1,50,397,305,126,953,982,33.3,10.0,214,3.6,17.4,0.0,0.0,1006,0.41,1014,305,25.3,214,8.4,1.7,Mahuva_Anaval,20.84,73.26
0.0,2024-03-11,12.4,50,398,306,126,953,985,34.4,10.1,195,2.8,19.6,0.0,0.0,1008,0.42,1015,306,27.1,195,6.4,1.8,Mahuva_Anaval,20.84,73.26
0.0,2024-03-12,15.3,50,399,308,127,954,988,34.1,10.2,203,2.8,20.4,0.0,0.0,1007,0.5,1014,308,27.3,203,7.6,1.9,Mahuva_Anaval,20.84,73.26
0.04,2024-03-13,17.1,50,400,309,127,954,991,33.0,10.2,244,2.8,21.5,0.0,0.0,1006,0.59,1013,309,26.6,244,7.6,1.8,Mahuva_Anaval,20.84,73.26
0.0,2024-03-14,16.1,50,400,311,127,954,994,32.6,10.3,228,3.2,19.3,0.0,0.0,1006,0.58,1014,311,25.7,228,7.2,1.7,Mahuva_Anaval,20.84,73.26
0.0,2024-03-15,15.6,50,401,312,127,954,997,32.6,10.4,218,3.2,18.1,0.0,0.0,1005,0.6,1012,312,25.1,218,6.4,1.7,Mahuva_Anaval,20.84,73.26
0.0,2024-03-16,15.6,51,402,313,127,955,1000,33.7,10.4,232,2.8,18.1,0.0,0.0,1005,0.59,1013,313,25.5,232,6.0,1.7,Mahuva_Anaval,20.84,73.26
0.0,2024-03-17,15.4,51,402,315,127,955,1003,33.0,10.5,216,3.6,18.5,0.0,0.0,1005,0.58,1012,315,25.5,216,8.0,2.0,Mahuva_Anaval,20.84,73.26
0.15,2024-03-18,19.2,51,403,316,127,955,1005,33.3,10.6,230,3.2,19.6,0.0,0.0,1005,0.68,1012,316,26.2,230,7.6,2.1,Mahuva_Anaval,20.84,73.26
0.08,2024-03-19,16.4,51,404,317,127,955,1008,34.4,10.6,256,2.8,19.3,0.0,0.0,1005,0.59,1012,317,26.9,256,7.2,2.0,Mahuva_Anaval,20.84,73.26
0.01,2024-03-20,10.6,51,404,318,127,955,1011,35.9,10.7,194,2.8,20.4,0.0,0.0,1005,0.35,1012,318,28.3,194,7.2,2.1,Mahuva_Anaval,20.84,73.26
0.81,2024-03-21,11.1,51,405,320,127,955,1013,37.0,4.7,156,4.0,18.9,0.0,0.0,1003,0.36,1010,130,28.6,156,6.8,1.8,Mahuva_Anaval,20.84,73.26
0.12,2024-03-22,14.1,51,406,321,127,955,1016,35.9,10.8,206,4.0,20.4,0.0,0.0,1002,0.45,1009,292,28.0,206,8.8,2.0,Mahuva_Anaval,20.84,73.26
0.19,2024-03-23,17.3,51,406,322,128,956,1018,35.6,10.9,201,4.0,20.7,0.0,0.0,1002,0.57,1009,322,27.6,201,8.4,1.9,Mahuva_Anaval,20.84,73.26
0.26,2024-03-24,18.3,51,407,323,128,956,1020,34.8,10.8,239,3.2,21.9,0.0,0.0,1004,0.59,1011,323,28.0,239,8.0,2.0,Mahuva_Anaval,20.84,73.26
0.0,2024-03-25,18.6,51,407,324,128,956,1023,36.3,11.0,211,3.6,21.5,0.0,0.0,1004,0.58,1011,324,28.5,211,6.8,1.8,Mahuva_Anaval,20.84,73.26
0.0,2024-03-26,19.0,51,408,326,128,956,1025,37.0,11.0,223,3.6,22.2,0.0,0.0,1004,0.58,1011,326,29.1,223,7.6,2.0,Mahuva_Anaval,20.84,73.26
0.05,2024-03-27,21.0,52,408,327,128,956,1027,36.3,11.1,227,4.0,24.4,0.0,0.0,1005,0.6,1012,326,29.8,227,7.2,1.9,Mahuva_Anaval,20.84,73.26
0.16,2024-03-28,22.4,52,409,328,128,956,1029,35.9,9.4,228,3.2,24.1,0.0,0.0,1004,0.67,1011,318,29.7,228,6.8,2.0,Mahuva_Anaval,20.84,73.26
0.31,2024-03-29,21.2,52,409,329,128,956,1031,36.3,7.2,249,2.8,24.8,0.0,0.0,1003,0.61,1010,300,30.1,249,5.2,1.7,Mahuva_Anaval,20.84,73.26
0.09,2024-03-30,19.4,52,410,330,128,956,1033,36.3,9.3,241,3.6,23.7,0.0,0.0,1005,0.57,1012,329,29.4,241,7.6,2.1,Mahuva_Anaval,20.84,73.26
0.14,2024-03-31,18.0,52,410,331,128,956,1035,35.6,10.9,250,3.2,23.0,0.0,0.0,1005,0.54,1013,322,29.1,250,7.6,1.9,Mahuva_Anaval,20.84,73.26
0.47,2024-04-01,17.8,52,411,332,128,956,1037,36.3,7.6,234,3.2,22.2,0.0,0.0,1003,0.55,1010,197,28.8,234,7.2,1.7,Mahuva_Anaval,20.84,73.26
0.31,2024-04-02,17.5,52,411,333,128,955,1039,35.9,9.9,229,3.6,22.2,0.0,0.0,1001,0.53,1008,316,28.7,229,8.0,2.1,Mahuva_Anaval,20.84,73.26
0.38,2024-04-03,18.4,52,412,334,128,955,1040,35.6,11.2,220,4.0,21.9,0.0,0.0,1002,0.57,1009,324,28.8,220,8.4,2.1,Mahuva_Anaval,20.84,73.26
0.67,2024-04-04,19.2,52,412,335,128,955,1042,34.8,6.3,254,3.2,22.2,0.0,0.0,1003,0.61,1010,239,28.5,254,7.6,2.0,Mahuva_Anaval,20.84,73.26
0.24,2024-04-05,17.9,52,413,336,128,955,1043,35.9,7.4,188,4.4,22.2,0.0,0.0,1003,0.55,1010,323,29.3,188,9.6,2.4,Mahuva_Anaval,20.84,73.26
0.14,2024-04-06,16.0,52,413,337,128,955,1045,36.3,11.5,220,4.0,23.0,0.0,0.0,1002,0.44,1009,336,30.3,220,8.8,2.5,Mahuva_Anaval,20.84,73.26
0.02,2024-04-07,17.2,53,414,337,128,955,1046,36.3,11.6,187,3.6,24.8,0.0,0.0,1001,0.5,1008,337,29.7,187,7.2,2.1,Mahuva_Anaval,20.84,73.26
0.0,2024-04-08,17.4,53,414,338,128,955,1048,36.3,11.6,249,2.4,22.6,0.0,0.0,1001,0.52,1009,338,29.2,249,6.0,2.1,Mahuva_Anaval,20.84,73.26
0.0,2024-04-09,20.4,53,415,339,128,954,1049,36.3,11.6,224,3.6,23.3,0.0,0.0,1001,0.61,1009,339,29.5,224,7.6,2.1,Mahuva_Anaval,20.84,73.26
0.07,2024-04-10,20.3,53,416,340,128,954,1050,35.9,11.7,215,4.0,24.1,0.0,0.0,1002,0.6,1009,340,29.2,215,8.0,2.4,Mahuva_Anaval,20.84,73.26
0.22,2024-04-11,19.8,53,417,341,128,954,1051,35.2,11.6,217,3.6,23.3,0.0,0.0,1002,0.58,1009,340,29.5,217,8.4,2.1,Mahuva_Anaval,20.84,73.26
0.05,2024-04-12,20.0,53,417,342,128,954,1052,34.1,11.7,218,4.4,23.3,0.0,0.0,1002,0.62,1009,342,28.6,218,8.8,2.2,Mahuva_Anaval,20.84,73.26
0.08,2024-04-13,20.2,53,418,342,128,954,1053,33.3,11.8,220,4.8,21.5,0.0,0.0,1003,0.67,1010,342,27.4,220,10.0,2.6,Mahuva_Anaval,20.84,73.26
0.07,2024-04-14,21.9,53,419,343,128,953,1054,35.6,11.2,233,4.4,23.3,0.0,0.0,1003,0.67,1011,343,29.1,233,8.8,2.1,Mahuva_Anaval,20.84,73.26
0.1,2024-04-15,21.5,53,420,344,128,953,1055,40.4,10.5,132,3.6,25.9,0.0,0.0,1003,0.57,1010,341,32.4,132,8.4,2.2,Mahuva_Anaval,20.84,73.26
0.06,2024-04-16,16.5,54,421,345,128,953,1056,40.0,10.6,116,3.6,27.4,0.0,0.0,1002,0.38,1009,345,33.4,116,8.4,2.7,Mahuva_Anaval,20.84,73.26
0.09,2024-04-17,15.6,54,421,345,128,953,1057,40.4,11.6,171,4.4,26.7,0.0,0.0,1001,0.36,1008,344,33.7,171,8.4,2.4,Mahuva_Anaval,20.84,73.26
0.38,2024-04-18,21.0,54,422,346,128,952,1058,37.8,10.6,242,3.6,27.0,0.0,0.0,1001,0.55,1008,314,32.1,242,7.2,2.2,Mahuva_Anaval,20.84,73.26
0.35,2024-04-19,20.5,54,423,347,128,952,1058,37.8,8.4,251,3.6,25.9,0.0,0.0,1000,0.54,1007,333,32.0,251,8.0,2.1,Mahuva_Anaval,20.84,73.26
0.14,2024-04-20,19.6,54,423,347,128,952,1059,36.7,11.9,223,4.4,27.0,0.0,0.0,1000,0.53,1007,347,31.3,223,8.4,2.4,Mahuva_Anaval,20.84,73.26
0.38,2024-04-21,19.5,54,424,348,128,952,1059,35.9,7.1,253,3.2,25.2,0.0,0.0,1001,0.56,1008,309,30.3,253,7.6,2.1,Mahuva_Anaval,20.84,73.26
0.63,2024-04-22,19.7,54,425,349,128,951,1060,35.2,4.5,257,3.2,25.9,0.0,0.0,1001,0.56,1009,203,30.1,257,8.0,2.1,Mahuva_Anaval,20.84,73.26
0.0,2024-04-23,19.7,54,425,349,128,951,1060,36.7,12.0,232,4.0,23.3,0.0,0.0,1000,0.57,1007,349,30.0,232,8.8,2.1,Mahuva_Anaval,20.84,73.26
0.05,2024-04-24,20.4,54,426,350,128,951,1061,37.4,12.0,230,3.6,24.1,0.0,0.0,999,0.57,1006,350,30.4,230,6.4,1.9,Mahuva_Anaval,20.84,73.26
0.17,2024-04-25,21.2,54,427,350,128,950,1061,37.4,10.1,236,3.6,25.6,0.0,0.0,1000,0.58,1007,347,31.1,236,7.2,2.1,Mahuva_Anaval,20.84,73.26
0.27,2024-04-26,21.3,54,427,351,128,950,1061,37.0,9.2,261,3.2,25.9,1.8,1.8,1000,0.57,1007,339,31.2,261,6.8,1.7,Mahuva_Anaval,20.84,73.26
0.39,2024-04-27,20.6,54,428,351,128,950,1062,38.5,10.6,281,3.6,25.2,0.0,0.0,1000,0.55,1007,339,31.8,281,6.8,1.8,Mahuva_Anaval,20.84,73.26
0.49,2024-04-28,17.8,54,428,352,128,949,1062,38.9,9.9,197,3.2,27.8,0.0,0.0,1000,0.42,1007,327,33.1,197,7.2,2.0,Mahuva_Anaval,20.84,73.26
0.1,2024-04-29,17.3,54,429,352,128,949,1062,38.5,11.4,264,3.6,26.3,0.0,0.0,1001,0.42,1008,352,32.9,264,8.0,2.3,Mahuva_Anaval,20.84,73.26
0.01,2024-04-30,17.9,55,429,353,128,949,1062,38.5,12.1,264,4.0,27.4,0.0,0.0,1000,0.44,1007,353,32.6,264,8.4,2.5,Mahuva_Anaval,20.84,73.26
0.0,2024-05-01,18.5,55,429,353,128,948,1062,37.0,12.1,240,3.6,25.2,0.0,0.0,998,0.52,1005,353,30.8,240,8.0,2.5,Mahuva_Anaval,20.84,73.26
0.02,2024-05-02,19.1,55,430,354,128,948,1062,35.9,11.8,224,4.0,24.8,0.0,0.0,999,0.54,1006,354,30.2,224,8.4,2.5,Mahuva_Anaval,20.84,73.26
0.04,2024-05-03,19.9,55,430,354,128,947,1062,36.7,12.1,234,3.2,23.7,0.0,0.0,1000,0.56,1007,354,30.2,234,7.2,2.3,Mahuva_Anaval,20.84,73.26
0.46,2024-05-04,22.4,55,431,355,128,947,1062,38.1,7.4,248,3.6,25.2,0.0,0.0,1001,0.62,1008,288,31.3,248,7.6,2.3,Mahuva_Anaval,20.84,73.26
0.24,2024-05-05,21.8,55,431,355,128,947,1062,37.8,12.1,250,4.0,25.6,0.0,0.0,999,0.58,1006,351,32.0,250,9.2,2.4,Mahuva_Anaval,20.84,73.26
0.06,2024-05-06,22.4,55,431,355,128,946,1062,35.2,12.1,239,4.0,27.8,0.0,0.0,1000,0.6,1007,355,31.5,239,9.6,3.0,Mahuva_Anaval,20.84,73.26
0.03,2024-05-07,23.9,55,432,356,128,946,1062,35.6,12.1,222,5.2,27.0,0.0,0.0,1000,0.68,1007,356,30.7,222,10.8,3.7,Mahuva_Anaval,20.84,73.26
0.1,2024-05-08,24.2,55,432,356,128,946,1062,35.6,11.3,225,4.4,26.3,0.0,0.0,1000,0.71,1007,356,30.5,225,8.8,3.4,Mahuva_Anaval,20.84,73.26
0.14,2024-05-09,24.1,55,432,356,127,945,1062,34.4,11.3,229,4.4,26.7,0.0,0.0,1000,0.72,1007,355,30.2,229,9.6,3.5,Mahuva_Anaval,20.84,73.26
0.15,2024-05-10,23.5,55,433,357,127,945,1062,34.4,11.5,234,4.4,26.3,0.0,0.0,1001,0.71,1008,354,29.7,234,9.6,3.2,Mahuva_Anaval,20.84,73.26
0.1,2024-05-11,23.8,55,433,357,127,944,1061,35.6,12.1,238,4.0,24.8,0.0,0.0,1002,0.72,1009,357,30.1,238,8.4,2.4,Mahuva_Anaval,20.84,73.26
0.16,2024-05-12,24.2,55,433,357,127,944,1061,33.7,11.3,227,3.2,25.9,0.0,0.0,1002,0.73,1009,356,29.8,227,8.4,2.1,Mahuva_Anaval,20.84,73.26
0.16,2024-05-13,24.5,55,433,357,127,944,1061,37.0,11.9,185,4.4,26.3,2.8,2.8,1001,0.72,1008,346,30.7,185,8.4,1.7,Mahuva_Anaval,20.84,73.26
0.14,2024-05-14,21.5,55,434,358,127,943,1061,37.4,11.2,99,3.6,24.8,0.3,0.3,1001,0.6,1008,356,30.9,99,7.6,2.1,Mahuva_Anaval,20.84,73.26
0.12,2024-05-15,21.7,55,434,358,127,943,1060,38.1,11.1,217,2.0,27.0,2.8,2.8,1001,0.55,1008,355,32.4,217,5.6,1.3,Mahuva_Anaval,20.84,73.26
0.25,2024-05-16,21.1,55,434,358,127,942,1060,39.6,11.9,89,4.0,26.7,2.8,2.8,1001,0.54,1008,353,33.1,89,7.6,1.8,Mahuva_Anaval,20.84,73.26
0.08,2024-05-17,24.0,55,434,358,127,942,1060,37.0,12.2,224,4.0,28.9,0.0,0.0,1000,0.62,1007,358,32.5,224,8.0,2.9,Mahuva_Anaval,20.84,73.26
0.05,2024-05-18,25.2,55,434,358,127,942,1059,37.8,12.0,238,3.2,28.5,0.0,0.0,997,0.65,1005,358,33.0,238,7.2,2.3,Mahuva_Anaval,20.84,73.26
0.06,2024-05-19,23.9,55,435,359,127,941,1059,39.3,12.2,234,3.6,28.5,0.0,0.0,996,0.61,1003,359,33.5,234,7.6,2.4,Mahuva_Anaval,20.84,73.26
0.14,2024-05-20,23.0,55,435,359,127,941,1059,38.9,9.6,237,4.0,28.5,0.0,0.0,996,0.57,1003,356,33.3,237,8.4,2.7,Mahuva_Anaval,20.84,73.26
